OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2021-07-01,1,0,2021-07-01T07:00:00-00:00,2021-07-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.51157,ACTUAL,1
2021-07-01,2,0,2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.53056,ACTUAL,1
2021-07-01,3,0,2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.44287,ACTUAL,1
2021-07-01,4,0,2021-07-01T10:00:00-00:00,2021-07-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.45611,ACTUAL,1
2021-07-01,5,0,2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.42544,ACTUAL,1
2021-07-01,6,0,2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.61514,ACTUAL,1
2021-07-01,7,0,2021-07-01T13:00:00-00:00,2021-07-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,192.7658,ACTUAL,1
2021-07-01,8,0,2021-07-01T14:00:00-00:00,2021-07-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,833.34255,ACTUAL,1
2021-07-01,9,0,2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1192.36213,ACTUAL,1
2021-07-01,10,0,2021-07-01T16:00:00-00:00,2021-07-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1320.49547,ACTUAL,1
2021-07-01,11,0,2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1354.18634,ACTUAL,1
2021-07-01,12,0,2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1351.54903,ACTUAL,1
2021-07-01,13,0,2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1335.83081,ACTUAL,1
2021-07-01,14,0,2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1366.2166,ACTUAL,1
2021-07-01,15,0,2021-07-01T21:00:00-00:00,2021-07-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1339.27962,ACTUAL,1
2021-07-01,16,0,2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1331.0589,ACTUAL,1
2021-07-01,17,0,2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1204.22495,ACTUAL,1
2021-07-01,18,0,2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1081.87751,ACTUAL,1
2021-07-01,19,0,2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,846.37379,ACTUAL,1
2021-07-01,20,0,2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,257.64048,ACTUAL,1
2021-07-01,21,0,2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,2.44678,ACTUAL,1
2021-07-01,22,0,2021-07-02T04:00:00-00:00,2021-07-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.24672,ACTUAL,1
2021-07-01,23,0,2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.05694,ACTUAL,1
2021-07-01,24,0,2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.03267,ACTUAL,1
2021-07-01,1,0,2021-07-01T07:00:00-00:00,2021-07-01T08:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1157.33239,ACTUAL,2
2021-07-01,24,0,2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1159.3768,ACTUAL,2
2021-07-01,3,0,2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1001.11483,ACTUAL,2
2021-07-01,4,0,2021-07-01T10:00:00-00:00,2021-07-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,974.0885,ACTUAL,2
2021-07-01,5,0,2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1090.23998,ACTUAL,2
2021-07-01,6,0,2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1087.17999,ACTUAL,2
2021-07-01,7,0,2021-07-01T13:00:00-00:00,2021-07-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1056.63282,ACTUAL,2
2021-07-01,8,0,2021-07-01T14:00:00-00:00,2021-07-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,921.44895,ACTUAL,2
2021-07-01,9,0,2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,715.43234,ACTUAL,2
2021-07-01,10,0,2021-07-01T16:00:00-00:00,2021-07-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,604.78532,ACTUAL,2
2021-07-01,11,0,2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,453.93596,ACTUAL,2
2021-07-01,12,0,2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,431.4775,ACTUAL,2
2021-07-01,13,0,2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,568.92651,ACTUAL,2
2021-07-01,14,0,2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,585.55734,ACTUAL,2
2021-07-01,15,0,2021-07-01T21:00:00-00:00,2021-07-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,776.36536,ACTUAL,2
2021-07-01,16,0,2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,896.96322,ACTUAL,2
2021-07-01,17,0,2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,950.11883,ACTUAL,2
2021-07-01,18,0,2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,922.80086,ACTUAL,2
2021-07-01,19,0,2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,864.97736,ACTUAL,2
2021-07-01,20,0,2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,866.27707,ACTUAL,2
2021-07-01,21,0,2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,959.32762,ACTUAL,2
2021-07-01,22,0,2021-07-02T04:00:00-00:00,2021-07-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1135.60838,ACTUAL,2
2021-07-01,23,0,2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1179.14978,ACTUAL,2
2021-07-01,2,0,2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1115.73961,ACTUAL,2
2021-07-01,24,0,2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-14.52583,ACTUAL,3
2021-07-01,2,0,2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-11.12927,ACTUAL,3
