Name,Short Name,Unit Number,Bus Location in WECC240 Model,Bus in full WECC model,Category,Area,State,Maximum Capacity (MW),Heat Rate (MMBtu/MWh),Variable O&M ($/MWh),MaxCap Profile,Minimum Capacity (%),Maint Req (Hrs),Forced Outage Rate (%),Alternate Name,,
CbsPrsn1,CbsPrsn1,1,SJUAN G4  20 {1032},10246_PERSONG1,CT Large,PNM,New Mexico,132,10.58,5.001,12% Summer Deration,60,336,4.08,Cobisa Person,,
Reeves1,Reeves1,1,SJUAN G4  20 {1032},10261_REEVE_G1,Steam Small Old,PNM,New Mexico,40,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
Reeves3,Reeves3,1,SJUAN G4  20 {1032},10263_REEVE_G3,Steam Small Old,PNM,New Mexico,60,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
DENACCG1,DENACCG1,1,CORONADO  20 {1131},10394_LEF_G1,CC Frame F,PNM,New Mexico,164.79,7.51,2,6.9% Summer Deration,30,360,5.5,DUKE Energy No  America CCG1,,
DENACCG2,DENACCG2,1,CORONADO  20 {1131},10395_LEF_G2,CC Frame F,PNM,New Mexico,164.79,7.51,2,6.9% Summer Deration,30,360,5.5,DUKE Energy No  America CCG2,,
DENASTG1,DENASTG1,1,CORONADO  20 {1131},10396_LEF_S1,CC Frame F,PNM,New Mexico,613,7.34,2,6.9% Summer Deration,27,504,7.15,DUKE Energy No  America STG1,,
Lrdsbrg1,Lrdsbrg1,1,CORONADO  20 {1131},10491_LRDSBGG1,CT Large,PNM,New Mexico,80,11.79,5.001,12% Summer Deration,60,336,4.08,,,
Lrdsbrg2,Lrdsbrg2,1,CORONADO  20 {1131},10492_LRDSBRG2,CT Large,PNM,New Mexico,80,11.79,5.001,12% Summer Deration,60,336,4.08,,,
Copper1,Copper1,1,CORONADO  20 {1131},11051_COPPER_G,CT Old Gas,EPE,Texas,69,12.47,8.001,12% Summer Deration,30,336,4.08,Copper 1  El Paso TX,,
Newman1,Newman1,1,CORONADO  20 {1131},11112_NEWMANG1,Steam Small Recent,EPE,Texas,77,10.61,5.001,2.7% Summer Deration,19,336,4.49,,,
Newman2,Newman2,1,CORONADO  20 {1131},11113_NEWMANG2,Steam Small Recent,EPE,Texas,80,10.61,5.001,2.7% Summer Deration,19,336,4.49,,,
Newman3,Newman3,1,CORONADO  20 {1131},11114_NEWMANG3,Steam Large Recent,EPE,Texas,101,9.79,3.001,2.7% Summer Deration,17,672,9.14,,,
NewmnCC4,NewmnCC4,1,CORONADO  20 {1131},11117_NEWMN4S1,CC Old,EPE,Texas,222,7.15,5.001,6.9% Summer Deration,34,504,7.15,,,
RioGrnd6,RioGrnd6,1,CORONADO  20 {1131},11133_RIOGD_G6,Steam Small Old,EPE,New Mexico,48,10.61,5.001,2.7% Summer Deration,30,336,4.49,,,
RioGrnd7,RioGrnd7,1,CORONADO  20 {1131},11134_RIOGD_G7,Steam Small Old,EPE,New Mexico,45,10.61,5.001,2.7% Summer Deration,30,336,4.49,,,
RioGrnd8,RioGrnd8,1,CORONADO  20 {1131},11135_RIOGD_G8,Steam Large Recent,EPE,New Mexico,150,9.79,3.001,2.7% Summer Deration,17,672,9.14,,,
PYRAMD1A,PYRAMD1A,1,CORONADO  20 {1131},12094_PYRMDG1,CT Small,PNM,New Mexico,40,9.38,5.001,12% Summer Deration,45,168,3.74,,,
PYRAMD1B,PYRAMD1B,2,CORONADO  20 {1131},12094_PYRMDG1,CT Small,PNM,New Mexico,40,9.38,5.001,12% Summer Deration,45,168,3.74,,,
PYRAMD2A,PYRAMD2A,1,CORONADO  20 {1131},12095_PYRMDG2,CT Small,PNM,New Mexico,40,9.38,5.001,12% Summer Deration,45,168,3.74,,,
PYRAMD2B,PYRAMD2B,2,CORONADO  20 {1131},12095_PYRMDG2,CT Small,PNM,New Mexico,40,9.38,5.001,12% Summer Deration,45,168,3.74,,,
ChinoNM,ChinoNM,1,CORONADO  20 {1131},13017_CHINO,CC Frame F,PNM,New Mexico,40,7.15,2,6.9% Summer Deration,75,504,7.15,Chino  Silver City NM,,
GilaRvrST1,GilaRvrS,1,PALOVRD2  20 {1431},14802_GIL-ST1,CC Frame F,APS,Arizona,589,7.41,2,6.9% Summer Deration,29,504,7.15,Gila River ST1,,
GilaRvrST2,GilaRvrS,2,PALOVRD2  20 {1431},14805_GIL-ST2,CC Frame F,APS,Arizona,589,7.41,2,6.9% Summer Deration,29,504,7.15,Gila River ST2,,
GilaRvrST3,GilaRvrS,3,PALOVRD2  20 {1431},14808_GIL-ST3,CC Frame F,APS,Arizona,589,7.41,2,6.9% Summer Deration,29,504,7.15,Gila River ST3,,
GilaRvrST4,GilaRvrS,4,PALOVRD2  20 {1431},14811_GIL-ST4,CC Frame F,APS,Arizona,486,7.46,2,6.9% Summer Deration,35,504,7.15,,,
OctllGT1,OctllGT1,1,FCNGN4CC  20 {1032},14921_OCOTGT1,CT Old Gas,APS,Arizona,55.9,12.47,8.001,12% Summer Deration,30,336,4.08,,,
OctllGT2,OctllGT2,1,FCNGN4CC  20 {1032},14922_OCOTGT2,CT Old Gas,APS,Arizona,55.9,12.47,8.001,12% Summer Deration,30,336,4.08,,,
Ocotill2,Ocotill2,1,FCNGN4CC  20 {1032},14924_OCOTST2,Steam Large Recent,APS,Arizona,114.9,9.56,3.001,2.7% Summer Deration,17,672,9.14,,,
Ocotill1,Ocotill1,1,FCNGN4CC  20 {1032},14925_OCOTST1,Steam Large Recent,APS,Arizona,114.9,9.94,3.001,2.7% Summer Deration,17,672,9.14,,,
SagurAZGT1,SagurAZG,1,PALOVRD2  20 {1431},14941_SAGUARO1,Steam Large Recent,APS,Arizona,110,9.79,3.001,2.7% Summer Deration,17,672,9.14,,,
SagurAZGT2,SagurAZG,2,PALOVRD2  20 {1431},14942_SAGUARO2,Steam Large Old,APS,Arizona,99,9.79,5.001,2.7% Summer Deration,8,336,4.49,,,
SaguarAZ2,SaguarAZ,2,PALOVRD2  20 {1431},14943_SAG. CT2,CT Old Gas,APS,Arizona,54.5,12.47,8.001,12% Summer Deration,30,336,4.08,,,
SaguarAZ1,SaguarAZ,1,PALOVRD2  20 {1431},14944_SAG. CT1,CT Old Gas,APS,Arizona,54.5,12.47,8.001,12% Summer Deration,30,336,4.08,,,
SaguarAZ3,SaguarAZ,3,PALOVRD2  20 {1431},14945_SAG. CT3,CT Large,APS,Arizona,80,11.79,5.001,12% Summer Deration,60,336,4.08,,,
WstPhnxST1,WstPhnxS,1,PALOVRD2  20 {1431},14950_WPCC4ST1,Steam Small Recent,APS,Arizona,42,10.61,5.001,2.7% Summer Deration,19,336,4.49,,,
