Year,Month,Day,Period,10 SOUTHWST,20 MEXICO,21 IMPERIAL,22 SANDIEGO,24 SCE_OTHR,25 LAORANGE,26 LADWP,31 SNFRNCSC,32 BAYAREA,34 FRESNO,35 GEYSERS,36 HUMBOLDT,37 SIERRA,38 CNTCOAST,39 PGE_OTHR,40 NORTHWST,50 CANADA,60 ROCKY MT,61 IDAHO,64 N NEVADA,80 SMUD,CISO DWR,FULTON   20 {3531 CE},FULTON   20 {3531 NE},FULTON   20 {3531 NH base case},FULTON   20 {3531 NH future case},HELMS PP 20 {3432 NP base case},HELMS PP 20 {3432 NP future case},HUMBOLDT 20 {3631 NB},MC CALL  20 {3433 NH base case},MC CALL  20 {3433 NH future case},MESA CAL  20 {2438 SR},MESA CAL  20 {2438 SS},MESA CAL  20 {2438 SS New},MESA CAL  20 {2438 SW},MESA CAL  20 {2438 SW New},MESA CAL  20 {3438 SH base case},MESA CAL  20 {3438 SH future case},PITSBURG  20 {3234 NW},PITSBURG  20 {3234 NW New},ROUND MT  20 {3931 NB},ROUND MT  20 {3931 NH base case},ROUND MT  20 {3931 NH future case},SUMMIT   20 {3931 NH base case},SUMMIT   20 {3931 NH future case},TESLA     20 {3933 NB},TESLA     20 {3933 NW},TESLA     20 {3933 NW New},TESLA     20 {3933 NH base case},TESLA     20 {3933 NH future case},CANAD G1 20 {5031 H base case},CASTAI4G 20 {2638 P base case},CMAIN GM 20 {5032 H base case},COLOEAST 20 {7031 P base case},COTWDWAP 20 {8033 H base case},COULEE   20 {4131 H base case},CRAIG    20 {7032 H base case},CRAIG    20 {7032 P base case},DALLES21 20 {4039 H base case},EMERY    20 {6533 H base case},HANFORD  20 {4132 H base case},HOOVER   20 {1331 H base case},IMPERIAL 20 {2130 H base case},JOHN DAY 20 {4035 H base case},MALIN    20 {4031 H base case},MIDPOINT 20 {6132 H base case},MONTA G1 20 {6235 H base case},NAUGHT   20 {6335 H base case},NAVAJO 2 20 {1232 H base case},NORTH G3 20 {4231 H base case},OWENS G  20 {2637 H base case},RNCHSECO 20 {8034 H base case},SJUAN G4 20 {1034 H base case},WCASCADE 20 {4232 H base case},CANAD G1 20 {5031 H future case},CASTAI4G 20 {2638 P future case},CMAIN GM 20 {5032 H future case},COLOEAST 20 {7031 P future case},COTWDWAP 20 {8033 H future case},COULEE   20 {4131 H future case},CRAIG    20 {7032 H future case},CRAIG    20 {7032 P future case},DALLES21 20 {4039 H future case},EMERY    20 {6533 H future case},HANFORD  20 {4132 H future case},HOOVER   20 {1331 H future case},IMPERIAL 20 {2130 H future case},JOHN DAY 20 {4035 H future case},MALIN    20 {4031 H future case},MIDPOINT 20 {6132 H future case},MONTA G1 20 {6235 H future case},NAUGHT   20 {6335 H future case},NAVAJO 2 20 {1232 H future case},NORTH G3 20 {4231 H future case},OWENS G  20 {2637 H future case},RNCHSECO 20 {8034 H future case},SJUAN G4 20 {1034 H future case},WCASCADE 20 {4232 H future case},CORONADO 20 {1131 W},CORONADO 20 {1131 W New},MALIN    20 {4031 W},MALIN    20 {4031 W New},JOHN DAY 20 {4035 W},JOHN DAY 20 {4035 W New},DALLES21 20 {4039 W},DALLES21 20 {4039 W New},COULEE   20 {4131 W},COULEE   20 {4131 W New},HANFORD  20 {4132 W},HANFORD  20 {4132 W New},WCASCADE 20 {4232 W},WCASCADE 20 {4232 W New},CMAIN GM 20 {5032 W},CMAIN GM 20 {5032 W New},MIDPOINT 20 {6132 W},MIDPOINT 20 {6132 W New},MONTA G1 20 {6235 W},MONTA G1 20 {6235 W New},BRIDGER  20 {6333 W},BRIDGER  20 {6333 W New},VALMY    20 {6433 W},VALMY    20 {6433 W New},COLOEAST 20 {7031 W},COLOEAST 20 {7031 W New},IMPERIAL 20 {2130 S},IMPERIAL 20 {2130 S New},H ALLEN  20 {1333 S New},PALOVRD2 20 {1431 S New},EMERY    20 {6533 S New}
2004,3,1,1,10988.2,724.8,218.3,1664.8,6540.8,1899.8,2382.6,633.4,3147.6,755.9,318.3,69.9,168.6,846.4,2317.8,16769.2,12772.8,8081.5,1302.9,1009.1,1350.5,1227.9,694.4,260,16.4,16.4,0,0,43.4,403.2,1350.7,756.8,0,0,16.3,40.9,630.6,268,3.1,0,257.4,1598.720014,1737.1,51,51,156.6,1.3,1.4,1376.947129,949.5994767,4511.2327,0,2850.594282,0,739.2,6094,138,0,1874.951184,8,2641.03658,524.5872911,233.4,734,405.9304984,1741.38289,327,301,463,1679.584364,22.14367965,461,470.8890959,185.2,3254,0,2723.2,0,314,9934.524285,138,0,584,8,3215.088858,900,138.1706032,1253.327155,196,429,139,162,276.8830465,1336,22,254,550.9434936,115,118.9,1471.6,36.3,4.5,434.4,6.2,106.5,80.9,124.9,78,24.5,453.9,0,0,270.9,981,41,0,107,788.5,145,1767.4,30.9,358.5,531.5,830.7,0,0,0,0,0
2004,3,1,2,10793.7,706.2,205.3,1593.2,6312.3,1860.8,2281.5,601.3,3016.7,727.7,309.5,67.2,164.4,832.1,2281.7,16450.4,12509.5,7940.2,1303.8,992.5,1302.4,1245.6,694.4,260,13.4,13.4,0,0,43.4,403.2,1149.1,756.8,0,0,27,67.8,496.8,268,3.3,0,257.4,1367.5,1367.5,51,51,156.6,1.4,1.5,1026.547129,701,4655.142668,0,2409.594282,0,582,4798,138,0,1881.546215,8,3209.83658,488,183,734,308.1304984,1865,258,220,337,1955.381352,22,392,331.0890959,128.2,2743.016441,0,2929.083559,0,314,9627.644333,138,0,584,8,2646.288858,655.8,100,1620.527155,196,429,139,162,251,974.2,22,185,493.8594701,157,101.9,1261.4,29.7,3.7,422.5,6.1,132.9,101,118.7,74.2,25.3,469.9,0,0,269.6,976.4,39.2,0,88.8,654.2,129,1571.5,24.2,280.9,503.1,786.2,0,0,0,0,0
2004,3,1,3,10757.7,693.2,197.7,1560.3,6197.3,1841.8,2230.5,583.6,2960.7,721.6,304.8,66,164.1,830.5,2250.2,16495.7,12404.7,7890.4,1317.8,988.3,1286,1244,694.4,260,10.4,10.4,0,1,38.9,403.2,947.5,756.8,0,0,38.6,97,363,268,2.1,0,230.7,1737.1,997.9,51,51,140.3,0.9,0.9,701,701,5002.053517,0,1968.594282,0,424.8,4954.121024,138,0,1820.336367,8,3778.63658,488,132.6,734,210.3304984,1865,200.8273459,162,251,2317.181352,22,323,280,115,3114.621454,1,2488.083559,1,314,9320.199086,138,1,584,8,2153.145891,867.4232676,100,1987.727155,196,493.9000501,139,162,359.7101378,1336,22,138,573.7695094,214,78.7,973.5,22.9,2.9,388.4,5.6,126.2,95.9,108.2,67.6,23.6,437.7,0.2,0,259.3,938.9,35.6,0,68.2,502.4,107,1303.3,18.5,214.5,492.1,769,0,0,0,0,0
2004,3,1,4,10884.3,693,195.4,1557.9,6198.4,1839.2,2214.5,579.5,2961.7,726.1,308,66.7,166.7,836.1,2246.9,16727.2,12392.3,7934.9,1355.2,988.3,1298.8,1241.7,694.4,260,11.1,8.1,0,1,38.9,403.2,745.9,756.8,0,0,40.1,100.8,306.2285714,268,0.9,0,230.7,2106.7,739.2,51,51,140.3,0.4,0.4,701,701,4121.853517,0,2395.399307,0,314,6094,138,0,1810.615975,8,3587.455978,659.0663931,100,734,196,1865,269.8273459,162,372.8488508,1955.381352,22,392,280,172,3994.821454,1,2047.083559,1,314,8024.199086,138,1,821.3726675,8,2677.8,1111.623268,150.4,2354.927155,196,660.4356873,139,162,485.7101378,1697.8,22,138,713.5695094,271,85,1052,29.5,3.7,345.1,5,133.3,101.3,103.2,64.5,14.9,275.8,0.8,0.1,256.3,928,24.6,0,57.1,420.7,111.4,1357.9,12.1,140.3,520.3,813.1,0,0,0,0,0
2004,3,1,5,11321.9,710.4,196.4,1618.3,6446.6,1873,2260,599,3041,759.6,312.9,70.3,175.9,836.9,2330.2,17581.6,12495.9,8151.2,1449.6,1008.5,1359.9,1229.6,694.4,260,14.1,11.1,0,1,38.9,540.7458969,947.5,756.8,0,0,38.2,96,440.0285714,268,0.5,0,230.7,2476.3,1108.8,51,51,140.3,0.2,0.2,1051.4,701,5002.053517,0,1954.399307,0,467.3766848,7390,138,0,1755.117897,8,3815.4,903.2663931,150.4,1101.2,220.2081337,1727.253296,338.8273459,243,498.8488508,2317.181352,22,461,419.8,229,4875.021454,1,1761.895207,1,314,7390,138,1,1113.572668,8,3246.6,1355.823268,200.8,2722.127155,196,874.6356873,139,226.5986852,611.7101378,2059.6,32.8,138,853.3695094,328,88.2,1091.3,40,5,304.6,4.4,138.9,105.5,96.8,60.5,11.3,210.3,0.1,0,254.7,922.2,5,0,44.4,327,110.6,1347.9,8.2,95.1,525.9,821.8,0,0,0,0,0
2004,3,1,6,12268.4,749.9,202.9,1800.7,7067.8,1992,2427.2,651.7,3285.8,848.5,338.7,81.3,199.5,844,2584.3,19498,12897,8625,1634.2,1068.6,1513.5,1210,694.4,260,17.1,14.1,0,1,38.9,742.3458969,1149.1,756.8,0,0,41.5,104.2,573.8285714,268,0.1,0,230.7,2845.9,1478.4,76.8,51,140.3,0,0,1401.8,1051.4,5882.253517,0,2395.399307,0,624.5766848,8686,207,0,2047.317897,12.2,4384.2,1147.466393,200.8,1468.4,318.0081337,1650.8,407.8273459,324,624.8488508,2678.981352,32.8,530,559.6,286,5755.221454,1,2202.895207,1,314,8686,207,1,1405.772668,12.2,3815.4,1600.023268,251.2,3089.327155,293.8,1088.835687,186.6,307.5986852,737.7101378,2421.4,43.6,207,993.1695094,385,79.6,984.5,36.2,4.5,300.1,4.3,127.4,96.8,89.3,55.8,11.6,215.3,0,0,249.9,905.1,0,0,41.4,305,101.8,1240.8,5.9,68.5,583.9,912.5,0,0,0,0,0
2004,3,1,7,13358.2,827,221.2,2087.7,7957.2,2225.4,2734.3,754.4,3709.2,968.5,390.5,98,236.3,932.6,2950.8,22282.3,13805.4,9425,1770.9,1166.2,1748.6,1188,694.4,260,20.1,17.1,0,404.4151411,39.2,943.9458969,1350.7,756.8,0,0,50.7,127.4,707.6285714,268,0,0,232.1,3215.5,1848,102.6,51,141.2,0,0,1752.2,1401.8,6762.453517,0,1954.399307,0,781.7766848,9982,276,0,2339.517897,16.4,4953,1391.666393,251.2,1835.6,415.8081337,1865,476.8273459,405,750.8488508,3040.781352,43.6,599,699.4,343,6635.421454,1,2643.895207,167.8,471.2,9982,276,101.2,1697.972668,16.4,4384.2,1844.223268,301.6,3194,391.6,1303.035687,255.6,388.5986852,863.7101378,2783.2,54.4,276,1132.969509,442,91.8,1136.3,41.3,5.2,298.4,4.3,136.7,103.9,82.2,51.4,18.9,349.9,0.1,0,250.2,906,0,0,47.7,351.7,94.8,1155.6,4.9,56.8,571,892.4,0,0,0,0,0
2004,3,1,8,13822.1,915.6,249.6,2287.3,8517.8,2385.2,2984.2,850.9,4072.4,1049.7,425.4,110.5,256.3,964.9,3147.3,23623,14991,9930.8,1766.4,1215.4,1881.9,1147.7,694.4,260,23.1,20.1,0,1,39.2,1145.545897,1552.3,756.8,0,0,51.3,128.8,841.4285714,268,0,0,232.1,3215.5,2217.6,128.4,51,141.2,0,0,2102.6,1752.2,7335.396912,0,2395.399307,0,938.9766848,11278,345,0,2539,20.6,4648.205096,1635.866393,301.6,2202.8,513.6081337,1798.759902,545.8273459,486,876.8488508,3145,54.4,599,839.2,400,7515.621454,1,3084.895207,112.9,628.4,11278,345,101.2,1990.172668,20.6,4953,2088.423268,352,3194,489.4,1517.235687,324.6,469.5986852,989.7101378,3145,65.2,345,1218,499,112.8,1396.2,43.3,5.4,312.8,4.5,148.3,112.7,78.4,49,25.3,468.2,0.4,0,234.7,850,0,0,52.1,383.6,92.3,1124.8,5.5,64.1,572.3,894.4,0,0,0,0,0
2004,3,1,9,13720.1,953.3,269.7,2398.2,8815.2,2513.9,3194.9,913.6,4249.8,1079,430.6,112,257.2,979.1,3207.1,23515.6,15412.5,10085.1,1730.7,1236.6,1919.7,976.2,694.4,260,26.1,23.1,0,1,39.2,943.9458969,1753.9,756.8,0,0,55.9,140.4,975.2285714,268,0,0,232.1,3055.988275,2587.2,154.2,51,141.2,0,0,2453,2102.6,7404.769469,0,2836.399307,0,781.7766848,11278,414,0,2246.8,24.8,4283.231895,1880.066393,352,1835.6,459.3974075,1584.559902,603,567,1002.848851,3145,65.2,530,979,457,7655,1,3070.204044,1,471.2,10338.24903,414,1,2118.390496,24.8,4953,2121,402.4,3194,391.6,1731.435687,255.6,500.1407086,918.1345827,3145,76,414,1191.959222,499,112.6,1393.5,47.1,5.9,322.1,4.6,160.9,122.2,80.8,50.5,27.4,509,0.3,0,220.7,799,0,0,59,434.6,96.6,1177,6.5,75.6,577.8,903,0,0,0,0,0
2004,3,1,10,13606.9,982.6,283.5,2463.7,9026.2,2596.1,3345.6,958.8,4415,1102.4,433.3,112.8,253.2,958.1,3217,23173.9,15478.8,10157.4,1694.1,1239.1,1959.1,793.5,694.4,260,26.1,26.1,0,1,39.2,877.8558937,1733.07595,756.8,0,0,72.4,181.8,1109.028571,268,0,0,232.1,2686.388275,2956.8,128.4,51,141.2,0,0,2803.4,1804.053658,7005.020655,0,3277.399307,0,938.9766848,9982,345,0,2193.325277,20.6,4852.031895,1635.866393,402.4,1468.4,361.5974075,1370.359902,534,578.1473888,1093,2783.2,76,599,978.7861731,400,7655,1,3051.913316,1,314,9195.687002,483,1,2066.609393,29,4953,1876.8,352,3194,293.8,1572.08221,186.6,581.1407086,792.1345827,3145,77.5702953,483,1052.159222,499,100.6,1244.5,45.3,5.7,298.4,4.3,148.8,113.1,79.3,49.5,22.3,413.5,0.8,0.1,206,745.9,0,0,69.9,514.9,86.7,1056.1,7.7,89.2,573.6,896.4,0,0,0,0,96
